food,Caloric Value,Fat,Carbohydrates,Protein,Sugars,Dietary Fiber,Sodium,Cholesterol,Nutrition Density
lentils cooked,230,0.8,39.9,17.9,3.6,15.6,0.016,0.0,75.118
baked beans canned,239,0.9,53.7,12.1,20.2,10.4,0.9,0.0,166.5
cranberry beans canned,216,0.7,39.3,14.4,0.0,16.4,0.9,0.0,165.3
black beans cooked,227,0.9,40.8,15.2,0.0,15.0,0.008,0.0,121.9
lima beans cooked,216,0.7,39.3,14.7,5.5,13.2,0.012,0.0,68.6
mungo beans raw,706,3.4,122.1,52.2,0.0,37.9,0.004,0.0,517.0
pigeon peas raw,703,3.1,128.7,44.5,0.0,30.8,0.04,0.0,484.3
fava beans canned,182,0.6,31.8,14.0,0.0,9.5,1.2,0.0,129.7
yellow snap beans raw,31,0.1,7.1,1.8,0.0,3.4,0.085,0.0,66.7
snap beans raw,31,0.2,7.0,1.8,3.3,2.7,0.025,0.0,61.9
yellow snap beans canned,36,0.2,8.4,1.9,0.0,3.6,0.6,0.0,82.1
pigeon peas cooked,203,0.6,39.1,11.4,0.0,11.3,0.036,0.0,136.5
catjang cowpeas raw,573,3.5,99.6,39.8,0.0,17.9,0.07,0.0,321.9
navy beans cooked,255,1.1,47.4,15.0,0.7,19.1,0.4,0.0,212.5
mothbeans raw,672,3.2,120.6,45.0,0.0,0.0,0.001,0.0,491.9
cowpeas cooked,81,0.4,14.5,5.4,2.3,4.6,0.037,0.0,25.166
mothbeans cooked,207,1.0,37.1,13.8,0.0,0.0,0.086,0.0,64.6
french beans cooked,228,1.3,42.5,12.5,0.0,16.6,0.003,0.0,73.3
lima beans raw,602,1.2,112.8,38.2,15.1,33.8,0.078,0.0,343.6
winged beans raw,744,29.7,75.9,54.0,0.0,47.1,0.09,0.0,1032.0
adzuki beans cooked,294,0.2,57.0,17.3,0.0,16.8,0.079,0.0,92.2
black beans raw,662,2.8,121.0,41.9,4.1,30.1,0.065,0.0,444.1
catjang cowpeas cooked,200,1.2,34.7,13.9,0.0,6.2,0.021,0.0,56.7
baby lima beans cooked,189,0.5,35.0,12.0,2.5,10.8,0.064,0.0,58.952
cowpeas raw,41,0.3,8.9,3.1,4.7,3.1,0.026,0.0,108.4
shellie beans canned,74,0.5,15.2,4.3,1.5,8.3,0.8,0.0,28.668
yardlong beans raw,579,2.2,103.4,40.6,0.0,18.4,0.057,0.0,412.2
pinto beans canned,197,1.3,36.4,11.0,2.4,11.0,0.6,0.0,177.7
chickpeas cooked,269,4.2,45.0,14.5,7.9,12.5,0.08,0.0,163.4
cranberry beans raw,653,2.4,117.1,44.9,0.0,48.2,0.014,0.0,470.1
mungo beans cooked,189,1.0,33.0,13.6,3.6,11.5,0.083,0.0,159.5
tamarinds,5,0.013,1.3,0.057,0.8,0.1,0.007,0.0,1.708
yellow snap beans cooked,44,0.4,9.9,2.4,4.5,4.1,0.096,0.0,17.003
yardlong beans cooked,202,0.8,36.1,14.2,0.0,6.5,0.059,0.0,58.2
bacon beef steak,146,12.5,0.2,8.2,0.2,0.0,0.4,28.9,25.4
lamb foreshank raw,912,60.7,0.0,85.8,0.0,0.0,0.3,326.6,204.0
bacon,106,10.2,0.2,3.3,0.2,0.0,0.1,0.0,14.8
lamb rib cooked,915,76.0,0.0,53.9,0.0,0.0,0.2,247.4,190.1
lamb shank raw,912,61.2,0.0,84.3,0.0,0.0,0.3,303.9,189.6
scrapple,60,3.9,4.0,2.3,0.063,0.052,0.1,13.9,13.63
chicken nuggets,61,4.1,3.0,3.2,0.039,0.2,0.1,8.6,10.792
ground lamb cooked,886,61.5,0.0,77.5,0.0,0.0,0.3,303.6,213.5
lamb meat cooked,678,45.0,0.0,63.8,0.0,0.0,0.2,240.0,153.6
meat extender,275,2.6,33.7,33.5,0.0,15.4,0.041,0.0,275.3
lamb leg raw,1043,77.4,0.0,81.2,0.0,0.0,0.3,313.0,206.9
lamb loin cooked,202,14.8,0.0,16.1,0.0,0.0,0.089,64.0,44.9
chicken patty,172,11.7,7.7,8.9,0.0,0.2,0.3,25.8,40.5
lamb shank roasted,605,33.5,0.0,71.0,0.0,0.0,0.2,242.1,136.7
barbecue loaf,40,2.0,1.5,3.6,0.0,0.0,0.3,8.5,20.1
lamb sirloin cooked,765,54.2,0.0,64.5,0.0,0.0,0.2,254.1,152.7
poultry salad,26,1.8,1.0,1.5,0.0,0.0,0.079,3.9,5.781
ground lamb raw,80,6.6,0.0,4.7,0.0,0.0,0.05,20.7,16.2
lamb loin raw,88,7.5,0.0,4.6,0.0,0.0,0.003,20.9,16.8
lamb sirloin raw,1234,100.3,0.0,76.8,0.0,0.0,0.3,326.6,229.8
sausage patty mcdonalds,115,11.2,0.4,4.3,0.1,0.0,0.2,20.9,22.7
lamb foreshank cooked,360,19.9,0.0,42.0,0.0,0.0,0.1,156.9,94.7
ham salad,97,7.0,4.8,3.9,0.0,0.0,0.5,16.7,19.6
